TreeN	Species	Family	DBH	LogDBH	Locality	Dataset	Genus
WP1E0241	Dysoxylum.richardianum	Meliaceae	65.6	1.816903839	WP	1	Dysoxylum
WP1E0242	Strychnos.minor	Loganiaceae	9.7	0.986771734	WP	1	Strychnos
WP1E0243	Drypetes.lasiogynoides	Putranjivaceae	11.1	1.045322979	WP	1	Drypetes
WP1E0244	Horsfieldia.basifissa	Myristicaceae	17.1	1.23299611	WP	1	Horsfieldia
WP1E0245	Barringtonia.apiculata	Lecythidaceae	26.8	1.428134794	WP	1	Barringtonia
WP1E0246	Celtis.latifolia	Cannabaceae	5.5	0.740362689	WP	1	Celtis
WP1E0247	Palaquium.morobense	Sapotaceae	7.9	0.897627091	WP	1	Palaquium
WP1E0248	Mastixiodendron.pachyclados	Rubiaceae	6.8	0.832508913	WP	1	Mastixiodendron
WP1E0249	Pouteria.obovata	Sapotaceae	6.7	0.826074803	WP	1	Pouteria
WP1E0250	Chisocheton.ceramicus	Meliaceae	6	0.77815125	WP	1	Chisocheton
WP1E0251	Myristica.fatua	Myristicaceae	5.1	0.707570176	WP	1	Myristica
WP1E0252	Protium.macgregorii	Burseraceae	5.5	0.740362689	WP	1	Protium
WP1E0253	Cinnamomum.grandiflorum	Lauraceae	6.7	0.826074803	WP	1	Cinnamomum
WP1E0254	Myristica.fatua	Myristicaceae	8.2	0.913813852	WP	1	Myristica
WP1E0255	Horsfieldia.basifissa	Myristicaceae	20.9	1.320146286	WP	1	Horsfieldia
WP1E0256	Horsfieldia.basifissa	Myristicaceae	11	1.041392685	WP	1	Horsfieldia
WP1E0257	Horsfieldia.basifissa	Myristicaceae	NA	NA	WP	1	Horsfieldia
WP1E0258	Maniltoa.psilogyne	Fabaceae	27.1	1.432969291	WP	1	Maniltoa
WP1E0259	Pimelodendron.amboinicum	Euphorbiaceae	21.4	1.330413773	WP	1	Pimelodendron
WP1E1289	Phyllanthus.clamboides	Phyllanthaceae	5.1	0.707570176	WP	1	Phyllanthus
WP1E1290	Pouteria.obovata	Sapotaceae	6.7	0.826074803	WP	1	Pouteria
WP1E1291	Horsfieldia.basifissa	Myristicaceae	5.2	0.716003344	WP	1	Horsfieldia
WP1E1292	Horsfieldia.basifissa	Myristicaceae	5.3	0.72427587	WP	1	Horsfieldia
WP2A0418	Versteegia.cauliflora	Rubiaceae	6.9	0.838849091	WP	1	Versteegia
WP2A0421	Macaranga.punctata	Euphorbiaceae	9.4	0.973127854	WP	1	Macaranga
WP2A0422	Gymnacranthera.paniculata	Myristicaceae	20.6	1.31386722	WP	1	Gymnacranthera
WP2A0423	Guioa.comesperma	Sapindaceae	9.7	0.986771734	WP	1	Guioa
WP2A0424	Dysoxylum.arborescens	Meliaceae	11.2	1.049218023	WP	1	Dysoxylum
WP2A0425	Polyalthia.glauca	Annonaceae	21.1	1.324282455	WP	1	Polyalthia
WP2A0426	Pometia.pinnata	Sapindaceae	29.6	1.471291711	WP	1	Pometia
WP2A0427	Litsea.timoriana	Lauraceae	6.9	0.838849091	WP	1	Litsea
WP2A0428	Vatica.papuana	Dipterocarpaceae	5.4	0.73239376	WP	1	Vatica
WP2A0429	Gnetum.gnemonoides	Gnetaceae	8.1	0.908485019	WP	1	Gnetum
WP2A0430	Pangium.edule	Achariaceae	9.5	0.977723605	WP	1	Pangium
WP2A0431	Terminalia.complanata	Combretaceae	5.7	0.755874856	WP	1	Terminalia
WP2A0432	Medusanthera.laxiflora	Stemonuraceae	5.4	0.73239376	WP	1	Medusanthera
WP2A0433	Planchonella.sp.	Sapotaceae	6.8	0.832508913	WP	1	Planchonella
WP2A0434	Celtis.latifolia	Cannabaceae	27.9	1.445604203	WP	1	Celtis
WP2A0435	Dysoxylum.arborescens	Meliaceae	7.5	0.875061263	WP	1	Dysoxylum
WP2A0436	Dysoxylum.arborescens	Meliaceae	14.2	1.152288344	WP	1	Dysoxylum
WP2A0437	Parkia.versteeghii	Fabaceae	57.7	1.761175813	WP	1	Parkia
WP2A0438	Horsfieldia.basifissa	Myristicaceae	11	1.041392685	WP	1	Horsfieldia
WP2A0439	Dysoxylum.molle	Meliaceae	8.5	0.929418926	WP	1	Dysoxylum
WP2A0440	Ficus.hahliana	Moraceae	5.4	0.73239376	WP	1	Ficus
WP2A0441	Dysoxylum.brassii	Meliaceae	8.4	0.924279286	WP	1	Dysoxylum
WP2A0442	Gymnacranthera.paniculata	Myristicaceae	5.8	0.763427994	WP	1	Gymnacranthera
WP2A0443	Microcos.grandiflora	Malvaceae	8.5	0.929418926	WP	1	Microcos
WP2A0444	Gymnacranthera.paniculata	Myristicaceae	14.1	1.149219113	WP	1	Gymnacranthera
WP2A0445	Ficus.hahliana	Moraceae	6.3	0.799340549	WP	1	Ficus
WP2A0446	Polyalthia.sp..1	Annonaceae	6.2	0.792391689	WP	1	Polyalthia
WP2A0447	Ficus.hahliana	Moraceae	5.8	0.763427994	WP	1	Ficus
WP2A0448	Pangium.edule	Achariaceae	8	0.903089987	WP	1	Pangium
WP2A0449	Gen?.sp.	Fam?	NA	NA	WP	1	Gen?
WP2A0450	Litsea.timoriana	Lauraceae	19.9	1.298853076	WP	1	Litsea
WP2A0518	Gnetum.gnemon	Gnetaceae	30.9	1.489958479	WP	1	Gnetum
WP2A0519	Teijsmanniodendron.bogoriense	Lamiaceae	17	1.230448921	WP	1	Teijsmanniodendron
WP2A0520	Horsfieldia.basifissa	Myristicaceae	11	1.041392685	WP	1	Horsfieldia
WP2A0521	Horsfieldia.basifissa	Myristicaceae	7.1	0.851258349	WP	1	Horsfieldia
WP2A0522	Litsea.timoriana	Lauraceae	12.1	1.08278537	WP	1	Litsea
WP2A0523	Horsfieldia.basifissa	Myristicaceae	7.3	0.86332286	WP	1	Horsfieldia
WP2A0524	Horsfieldia.hellwigii	Myristicaceae	16.2	1.209515015	WP	1	Horsfieldia
WP2A0525	Phyllanthus.clamboides	Phyllanthaceae	5.6	0.748188027	WP	1	Phyllanthus
WP2A0526	Mallotus.chromocarpus	Euphorbiaceae	5.9	0.770852012	WP	1	Mallotus
WP2A0527	Strychnos.minor	Loganiaceae	13.1	1.117271296	WP	1	Strychnos
WP2A0528	Chisocheton.ceramicus	Meliaceae	11.4	1.056904851	WP	1	Chisocheton
WP2A0529	Chisocheton.ceramicus	Meliaceae	35.3	1.547774705	WP	1	Chisocheton
WP2A0531	Teijsmanniodendron.bogoriense	Lamiaceae	13.9	1.1430148	WP	1	Teijsmanniodendron
WP2A0532	Allophylus.cobbe	Sapindaceae	19.5	1.290034611	WP	1	Allophylus
WP2A0533	Uvaria.rosenbergiana	Annonaceae	5.2	0.716003344	WP	1	Uvaria
WP2A0535	Strychnos.minor	Loganiaceae	10.2	1.008600172	WP	1	Strychnos
WP2A0536	Dysoxylum.molle	Meliaceae	24.5	1.389166084	WP	1	Dysoxylum
WP2A0537	Archidendron.ptenopum	Fabaceae	8	0.903089987	WP	1	Archidendron
WP2A0538	Pometia.pinnata	Sapindaceae	45.9	1.661812686	WP	1	Pometia
WP2A1304	Dracaena.angustifolia	Asparagaceae	5.1	0.707570176	WP	1	Dracaena
WP2B0401	Macaranga.aleuritoides	Euphorbiaceae	37.2	1.57054294	WP	1	Macaranga
WP2B0402	Mastixiodendron.pachyclados	Rubiaceae	8.1	0.908485019	WP	1	Mastixiodendron
WP2B0403	Pouteria.sp.	Sapotaceae	NA	NA	WP	1	Pouteria
WP2B0404	Cryptocarya.caloneura	Lauraceae	10.5	1.021189299	WP	1	Cryptocarya
WP2B0405	Haplolobus.floribunda	Burseraceae	9.8	0.991226076	WP	1	Haplolobus
WP2B0406	Pometia.pinnata	Sapindaceae	22.2	1.346352974	WP	1	Pometia
WP2B0407	Harpullia.arborea	Sapindaceae	11.7	1.068185862	WP	1	Harpullia
WP2B0408	Pandanus.kaernbachii	Pandanaceae	5.7	0.755874856	WP	1	Pandanus
WP2B0409	Mastixiodendron.pachyclados	Rubiaceae	8.1	0.908485019	WP	1	Mastixiodendron
WP2B0410	Cryptocarya.sp.	Lauraceae	6.7	0.826074803	WP	1	Cryptocarya
WP2B0411	Gymnacranthera.paniculata	Myristicaceae	8.9	0.949390007	WP	1	Gymnacranthera
WP2B0412	Myristica.hollrungii	Myristicaceae	7.9	0.897627091	WP	1	Myristica
WP2B0413	Teijsmanniodendron.bogoriense	Lamiaceae	6.1	0.785329835	WP	1	Teijsmanniodendron
WP2B0414	Dracontomelon.dao	Anacardiaceae	8.9	0.949390007	WP	1	Dracontomelon
WP2B0415	Erythrospermum.candidum	Salicaceae	9.3	0.968482949	WP	1	Erythrospermum
WP2B0416	Semecarpus.schlechteri	Anacardiaceae	11.3	1.053078443	WP	1	Semecarpus
WP2B0417	Cryptocarya.caloneura	Lauraceae	18.5	1.267171728	WP	1	Cryptocarya
WP2B0419	Ficus.hombroniana	Moraceae	21	1.322219295	WP	1	Ficus
WP2B0420	Myristica.fatua	Myristicaceae	9.8	0.991226076	WP	1	Myristica
